track_name,track_number,track_popularity,explicit,artist_popularity,artist_followers,album_total_tracks,album_type,track_duration_min
Can’t Stop the High,5,64,1,88,42237551,17,0,3.51
still smokin,1,43,0,32,592,1,2,2.66
PRICE,1,20,1,12,2956,1,2,2.41
Ridiculous - Stripped,1,31,0,19,88,1,2,4.33
Run Girl,1,44,0,42,11904,1,2,2.69
When Did You Get Hot?,8,91,0,91,26538275,12,0,2.42
Sugar Talking,4,84,1,91,26559943,12,0,3.06
Tears,2,92,0,91,26538275,12,0,2.66
Trapzzoid,1,39,0,48,193279,1,2,2.32
u don't have to tell me,2,65,0,74,1377042,2,2,2.26
We Almost Broke Up Again Last Night,5,82,1,91,26559943,12,0,3.38
Went Legit,1,44,1,69,2482067,2,2,2.34
De (feat. Savage Plug),3,46,0,61,7437933,12,0,3.41
Don’t Worry I’ll Make You Worry,10,81,1,91,26538275,12,0,3.7
El Ayam,9,57,0,61,7429055,12,0,2.56
Ezay Tfotny,11,48,0,61,7437933,12,0,3.16
Ghareeba (feat. ZIAD ZAZA),10,49,0,61,7429055,12,0,4.12
Girlfriend (feat. Tayc),6,50,0,61,7429055,12,0,2.83
Afterparty,12,52,0,61,7433128,12,0,4.07
Bad Days,4,54,0,61,7433128,12,0,3.26
Bey Ulu ma y Ulu,2,53,0,61,7429055,12,0,2.81
Capsula,7,41,0,61,7437933,12,0,0.55
Go Go Juice,9,85,1,91,26516295,12,0,3.22
Goodbye,12,84,1,91,26559943,12,0,3.75
House Tour,11,87,0,91,26538275,12,0,2.82
In Retrospect,22,46,0,52,78423,22,0,2.67
Khesert El Sha3b,1,50,0,61,7437933,12,0,2.07
Let It Be Me,1,41,0,48,74002,1,2,2.65
Mama Afrikya (feat. Seyi Vibez),8,51,0,61,7437933,12,0,2.82
Manchild,1,88,1,91,26559943,12,0,3.56
Mazhar W Mal,5,50,0,61,7429055,12,0,2.94
My Man on Willpower,3,85,1,91,26559943,12,0,3.29
Never Getting Laid,7,83,1,91,26516295,12,0,3.47
Nobody’s Son,6,88,1,91,26538275,12,0,3.04
